sym,t,dirn,rv,vratio,ats,pierce,tier,m1,m2,m4,m8,m16,m32,day
LIT,1786287600000,1,0.00356436958981313,9.54632295210678,1.76460640060719,0.002716929869247828,HIGH,-8.693590177816024,-67.96539373412335,-120.88664690939929,-163.6470194750216,-160.26005927180438,-199.2101016088064,08-09
BCH,1786288500000,1,0.0012607035369907472,18.131091824968134,9.158147298382472,0.0006884523590967766,HIGH,3.438423947924134,-23.608426698449914,-16.732108737507136,-42.40369579169263,-90.0795003208937,-159.75952232511162,08-09
WLD,1786288500000,1,0.00332089980705225,10.152841062237682,3.105498119090654,0.001142327878974935,HIGH,-45.19110922711728,-58.755865523938695,-70.47088232573884,-64.92166384067507,-74.78694114745397,-324.1934830594693,08-09
CRV,1786288500000,1,0.004194895689789892,12.115636324847506,1.3780714969553507,0.016715298040850295,HIGH,-94.25459016393424,-109.00868852458994,-130.72999999999988,-186.0578688524585,-244.2545901639341,-291.3857377049182,08-09
FARTCOIN,1786288500000,1,0.002825674594487286,15.71006742648395,2.788527496700227,0.0033514560214493627,HIGH,73.6645240038575,36.56427914224139,18.756161608666392,222.065503450322,107.05474437931241,-278.04579728426256,08-09
WLFI,1786289400000,1,0.0025228603397794225,5.760402801088026,1.0658746812032427,0.008447910906005053,HIGH,6.9437917336607615,2.7822481793240197,5.0521810271435825,4.2955367445375,2.5930871086721705,43.83020051073457,08-09
TRB,1786289400000,1,0.0019406488946518603,11.613826366559485,7.268311137405472,0.008264462809917371,MID,-51.346535994297966,-42.79343549536679,14.939992872416191,-13.570342124019412,-42.08067712045627,-226.6850962223797,08-09
JUP,1786289400000,1,0.002302413727151282,8.873942293797466,3.8880961286953437,0.001823349600471963,HIGH,-42.659993577392214,-59.25172982230791,-13.758259473346781,-66.74477199743107,-107.95650396060775,-355.22689573967074,08-09
PEOPLE,1786289400000,1,0.006570400718994341,14.63077388720559,1.6858336502819982,0.02320875981909078,MID,25.588872520588385,66.18741097320445,80.10690987124396,873.5183470595058,948.9156327572196,622.9673668947906,08-09
SYRUP,1786289400000,1,0.0022073015947370687,209.09440905874027,28.09017137215619,0.006216057056860606,MID,26.781866831393483,39.78661356394943,65.14586969243642,51.490885623251955,-79.20681903895051,-282.7311054034732,08-09
