horizon,feature,tier,ic,t_clustered,t_nw,n_timestamps,eff_n,day_consistency,r2_pct
240,ret1,MID,-0.06765485746989795,-1.6457286809068392,-3.238568114232651,129,0.5375,0.5789473684210527,0.4577179739272207
240,clv,ALL,0.0019211717159818634,0.8615425947737391,0.6894623808763134,27729,115.5375,0.47619047619047616,0.0003690900762288697
240,clv,HIGH,0.002786765500251778,1.2110640884696446,0.9381867813076352,27391,114.12916666666666,0.6666666666666666,0.0007766061953393543
240,clv,MID,-0.029897782863712453,-0.5176810814760935,-2.7166797954359048,52,0.21666666666666667,0.6666666666666666,0.08938774201656981
240,intensity,ALL,-0.0011145859794701807,-0.5122143626308702,-0.31534930644070025,28026,116.775,0.5714285714285714,0.0001242301905631502
240,intensity,HIGH,0.0021387759289740343,0.9412230741354298,0.5626437553500011,27722,115.50833333333334,0.6190476190476191,0.0004574362474358744
240,intensity,MID,-0.04584270506778359,-1.14495174155847,-3.6856523590681944,130,0.5416666666666666,0.631578947368421,0.21015536079317912
240,rv60,ALL,-0.04445760406746195,-18.315785636965483,-2.4335882303859884,28026,116.775,0.7142857142857143,0.19764785594192097
240,rv60,HIGH,-0.03313612618507963,-13.20358213072838,-1.7210069121079292,27722,115.50833333333334,0.5238095238095238,0.10980028585535198
240,rv60,MID,-0.016290917424106478,-0.39815516640004783,-0.8733136755358755,130,0.5416666666666666,0.42105263157894735,0.026539399051905603
