sym,t,dirn,day
POL,1785110400000,1,07-27
PEOPLE,1785111300000,1,07-27
NIL,1785112200000,1,07-27
JTO,1785113100000,1,07-27
NIL,1785113100000,1,07-27
JTO,1785114000000,1,07-27
LIT,1785114900000,1,07-27
kLUNC,1785114900000,-1,07-27
MORPHO,1785114900000,1,07-27
LIT,1785115800000,1,07-27
NIL,1785115800000,1,07-27
JTO,1785115800000,1,07-27
JTO,1785116700000,1,07-27
PEOPLE,1785116700000,1,07-27
NIL,1785116700000,1,07-27
LIT,1785116700000,1,07-27
BOME,1785116700000,1,07-27
ONDO,1785116700000,1,07-27
JTO,1785117600000,1,07-27
NIL,1785118500000,1,07-27
TAO,1785119400000,1,07-27
SKY,1785119400000,-1,07-27
MEGA,1785120300000,1,07-27
LIT,1785122100000,1,07-27
ZRO,1785122100000,1,07-27
APE,1785123000000,1,07-27
NEAR,1785123900000,1,07-27
LIT,1785123900000,1,07-27
AERO,1785123900000,1,07-27
SEI,1785124800000,1,07-27
PURR,1785124800000,1,07-27
APE,1785127500000,1,07-27
ORDI,1785128400000,-1,07-27
APE,1785129300000,1,07-27
LINK,1785131100000,1,07-27
JTO,1785131100000,1,07-27
ZRO,1785131100000,1,07-27
APE,1785132000000,1,07-27
BTC,1785132000000,1,07-27
JUP,1785132000000,1,07-27
ADA,1785132000000,1,07-27
LDO,1785132000000,1,07-27
PENDLE,1785132000000,1,07-27
WLFI,1785132900000,-1,07-27
HEMI,1785132900000,-1,07-27
JTO,1785133800000,1,07-27
LDO,1785134700000,1,07-27
JTO,1785134700000,1,07-27
JTO,1785135600000,1,07-27
AAVE,1785135600000,1,07-27
JTO,1785136500000,1,07-27
ONDO,1785137400000,1,07-27
LDO,1785138300000,1,07-27
ZRO,1785138300000,1,07-27
DOT,1785139200000,-1,07-27
ATOM,1785139200000,-1,07-27
NIL,1785139200000,1,07-27
MOVE,1785140100000,-1,07-27
JTO,1785140100000,1,07-27
MOVE,1785141000000,-1,07-27
MINA,1785141000000,-1,07-27
HEMI,1785141000000,-1,07-27
ZRO,1785141000000,1,07-27
JTO,1785141000000,1,07-27
AVAX,1785141900000,-1,07-27
MOVE,1785141900000,-1,07-27
PYTH,1785142800000,1,07-27
kFLOKI,1785142800000,-1,07-27
ARB,1785142800000,-1,07-27
DOGE,1785142800000,-1,07-27
GALA,1785142800000,-1,07-27
MOVE,1785142800000,-1,07-27
CAKE,1785142800000,-1,07-27
AXS,1785142800000,-1,07-27
CHIP,1785143700000,-1,07-27
PENGU,1785144600000,1,07-27
FET,1785146400000,-1,07-27
HBAR,1785146400000,-1,07-27
ALGO,1785146400000,-1,07-27
NIL,1785147300000,1,07-27
TRX,1785148200000,-1,07-27
PUMP,1785148200000,1,07-27
MELANIA,1785148200000,1,07-27
CASHCAT,1785148200000,-1,07-27
CASHCAT,1785149100000,-1,07-27
ZRO,1785149100000,1,07-27
PNUT,1785150000000,-1,07-27
ATOM,1785150000000,-1,07-27
MELANIA,1785151800000,1,07-27
ALGO,1785154500000,-1,07-27
MON,1785154500000,-1,07-27
GALA,1785154500000,-1,07-27
GRASS,1785155400000,1,07-27
AERO,1785156300000,1,07-27
MEGA,1785158100000,-1,07-27
SOL,1785159000000,1,07-27
ZRO,1785159000000,1,07-27
FARTCOIN,1785159000000,1,07-27
AERO,1785159000000,1,07-27
AERO,1785159900000,1,07-27
FET,1785160800000,-1,07-27
PYTH,1785160800000,1,07-27
FET,1785161700000,-1,07-27
ORDI,1785161700000,-1,07-27
BERA,1785161700000,-1,07-27
WIF,1785161700000,-1,07-27
MOODENG,1785161700000,-1,07-27
CAKE,1785161700000,-1,07-27
IMX,1785161700000,-1,07-27
ATOM,1785161700000,-1,07-27
kLUNC,1785161700000,-1,07-27
ADA,1785161700000,-1,07-27
kFLOKI,1785161700000,-1,07-27
VVV,1785161700000,-1,07-27
PNUT,1785161700000,-1,07-27
CHIP,1785161700000,-1,07-27
SUI,1785161700000,-1,07-27
TIA,1785161700000,-1,07-27
POPCAT,1785161700000,-1,07-27
AXS,1785161700000,-1,07-27
